"mesAnoBusca";"ano";"mes";"idUnidade";"nomeUnidade";"idSecao";"nomeSecao";"idAtividade";"nomeAtividade";"qtde"
201801;"2018";"01";1;"Juazeiro do Norte";1;"PEFOCE";1;"PC - 1ª Via de Identidade";1515
201801;"2018";"01";1;"Juazeiro do Norte";1;"PEFOCE";2;"PC - 2ª Via de Identidade";766
201801;"2018";"01";1;"Juazeiro do Norte";1;"PEFOCE";3;"PC - Emissão de Antecedentes Criminais (folha corrida)";22
201801;"2018";"01";1;"Juazeiro do Norte";1;"PEFOCE";4;"PC - Entrega de Identidade";2027
201801;"2018";"01";1;"Juazeiro do Norte";1;"PEFOCE";5;"PC - Correção de dados";3
201801;"2018";"01";1;"Juazeiro do Norte";1;"PEFOCE";404;"PC - Consulta de RG";693
201801;"2018";"01";1;"Juazeiro do Norte";1;"PEFOCE";405;"PC - Isenção de Taxa da 2º Via";114
201801;"2018";"01";1;"Juazeiro do Norte";1;"PEFOCE";461;"PC - Emissão de DAE - Taxas";176
201801;"2018";"01";1;"Juazeiro do Norte";2;"DETRAN-HABILITAÇÃO";6;"DH - Renovação de CNH";1364
201801;"2018";"01";1;"Juazeiro do Norte";2;"DETRAN-HABILITAÇÃO";7;"DH - 2ª Via de CNH";221
201801;"2018";"01";1;"Juazeiro do Norte";2;"DETRAN-HABILITAÇÃO";8;"DH - Emissão da CNH definitiva";258
201801;"2018";"01";1;"Juazeiro do Norte";2;"DETRAN-HABILITAÇÃO";9;"DH - Averbação";29
201801;"2018";"01";1;"Juazeiro do Norte";2;"DETRAN-HABILITAÇÃO";11;"DH - Mudança de categoria";18
201801;"2018";"01";1;"Juazeiro do Norte";2;"DETRAN-HABILITAÇÃO";12;"DH - Adição de categoria";43
201801;"2018";"01";1;"Juazeiro do Norte";2;"DETRAN-HABILITAÇÃO";13;"DH - Emissão de nada consta";391
201801;"2018";"01";1;"Juazeiro do Norte";2;"DETRAN-HABILITAÇÃO";14;"DH - Consulta a processos";4
